bairro,y
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,1
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,0
149,1
149,0
149,0
149,0
149,0
149,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
